# G5 — Cross-Language Construction Comparison

## 1. Main Recurring Constructional Functions

Working from the F4 tables across all eight languages, the following constructional functions recur with sufficient cross-language evidence to warrant comparison. These are identified from the data, not imposed from outside.

**A. Attributing a truth-domain property to a subject** — stating that something is true, false, correct, genuine, valid, etc.

**B. Negating a truth-domain attribution** — stating that something is not true, not correct, not genuine, etc.

**C. Modifying a noun with a truth-domain adjective** — using truth-domain terms as prenominal or postnominal modifiers.

**D. Expressing change into a truth-domain state (inchoative)** — stating that something becomes true, becomes correct, turns out to be genuine, etc.

**E. Causing a truth-domain state (causative)** — stating that an agent makes something true, verifies it, corrects it, authenticates it, or makes it false/invalid.

**F. Deriving abstract nouns from truth-domain bases** — forming nouns that refer to the quality or state itself (truthfulness, correctness, reliability, etc.).

**G. Deriving agent nouns from truth-domain bases** — forming nouns that refer to persons characterized by truth-domain properties (liar, verifier, honest person, etc.).

**H. Forming manner adverbials from truth-domain terms** — expressing that an action is done truthfully, honestly, correctly, accurately, etc.

**I. Introducing propositional complements with truth-domain predicates** — constructions of the form "it is true that…," "it is certain that…," "it is evident that…"

**J. Forming questions about truth-domain properties** — asking whether something is true, correct, genuine, etc.

**K. Expressing degree or intensity of truth-domain properties** — constructions that intensify, grade, or compare truth-domain properties.

**L. Expressing comparison of truth-domain properties** — stating that one thing is more true/accurate/reliable than another.

**M. Marking the source or basis of a truth claim (evidential)** — indicating whether a claim is based on direct observation, hearsay, inference, etc.

**N. Expressing verbal actions related to truth (truth-telling, lying, verifying, concealing)** — constructions where truth-domain nouns appear as objects of speech, cognition, or action verbs.

**O. Discourse-marking uses of truth vocabulary** — grammaticalized expressions that frame utterances as honest, frank, or corrective.

**P. Expressing stability or continuation of a truth-domain state** — stating that something remains true, stays correct, continues to be valid.

**Q. Expressing reciprocal or mutual truth-related action** — stating that parties are honest with each other, argue with each other, etc.

---

## 2. Comparison Table

| Constructional Function | Common Realization Patterns | Languages | Notes on Variation, Restrictions, or Gaps |
**The "come true" restriction in English.** English F4 notes that "come true" is "not productive beyond" predictions, wishes, dreams, and similar future-oriented propositions. This lexicalized restriction — a construction that is semantically restricted to a specific class of subjects — is documented most clearly in English but may have parallels in other languages (Tagalog magkatotoo is similarly associated with predictions and dreams).

### Cases Where a Constructional Strategy Appears to Replace Another

**Evidential suffixes replace complementizer constructions in Quechua.** In most languages, epistemic stance toward a proposition is expressed through a matrix predicate + complementizer + embedded clause (it is true that…, it is certain that…). In Quechua, this function is served by obligatory evidential suffixes (-mi, -si, -cha) on the main predicate. Rather than saying "it is true that X" with a separate matrix clause, Quechua encodes the speaker's epistemic relationship to X directly on the predicate of X. This is a structural replacement of a periphrastic construction by a morphological one.

**Revelation verbs replace inchoative "become" in Hebrew (and partially in Greek and Chinese).** As noted above, Hebrew prefers hitgalah (be revealed) and hitbarar (become clear) over direct inchoative constructions for expressing truth coming to light. This substitution is explicitly documented in Hebrew F4 and F6. Greek shows a parallel preference for βγαίνει η αλήθεια (the truth comes out) over γίνεται αλήθεια (becomes truth). Chinese uses 真相大白 (truth comes to light) as a fixed expression. In these languages, the revelation frame replaces the change-of-state frame for expressing truth becoming known.

**Periphrastic expressions replace morphological agentives for positive truth-tellers.** In languages where a morphological agentive for "truth-teller" or "honest person" is absent or marginal, periphrastic expressions substitute: Swahili mtu wa kweli (person of truth), Hebrew mtu wa kweli parallel (mtu wa kweli), Tagalog tapatang tao (honest person), English truth-teller (compound). These periphrastic expressions serve the same referential function as a morphological agentive but are structurally more complex.

**The -raq continuative suffix replaces a "remain true" verb in Quechua.** While other languages use lexical verbs (remain, stay, hold true) to express the continuation of a truth-domain state, Quechua uses the morphological continuative suffix -raq directly on the truth-domain predicate (chiqaqraqmi = still true, allinraqmi = still good). This morphological strategy replaces the periphrastic "remain + predicate" construction found in other languages.

### Cases Where a Function Is Weakly Expressed, Constructionally Indirect, or Absent

**Disconfirmation (proving false) is weakly expressed or absent in several languages.** Quechua F4 explicitly marks the absence of a construction for disconfirmation as a structural gap. Tagalog lacks a dedicated causative for "make incorrect." Chinese expresses falsification through lexical items rather than productive causative derivation. Swahili has batilisha (invalidate) but no dedicated "make false" causative. This function — causing something to be false or proving it false — is constructionally indirect or absent in at least four languages.

**Objectivity/subjectivity as a constructional distinction is weakly attested.** Chinese F4 documents a productive construction for objectivity/subjectivity (客观地 + verb, 主观地 + verb, 客观性, 主观性), but this construction is not documented as a distinct pattern in the F4 tables of other languages. The function exists conceptually in other languages but is not grammatically elaborated as a distinct constructional pattern.

**Reciprocal truth-related constructions are absent or analytic in several languages.** Sanskrit and Greek show less documentation of reciprocal truth-related constructions. Chinese and Hebrew express reciprocal meaning analytically (互相, zeh et zeh) rather than morphologically. The morphological reciprocal (Tagalog mag-...-an, Swahili -ana) is a more grammatically integrated strategy for this function.

**Comparison of truth-domain properties is constructionally indirect in Quechua.** Quechua lacks a morphological comparative and uses only equative comparison (hina/shina = as...as). Comparative meaning ("more true than," "more accurate than") must be expressed through other means. Quechua F4 notes this explicitly: "no morphological comparative exists, hina construction is obligatory for comparison." This represents a constructional gap relative to other languages in the corpus.

**The "come true" function for predictions and wishes is constructionally restricted in most languages.** While all languages can express the fulfillment of predictions or wishes, the specialized construction "come true" (English) or magkatotoo (Tagalog) that is lexically restricted to this semantic class is documented in only a few languages. In most languages, this meaning is expressed through general inchoative constructions (become true, turn out to be true) without a specialized lexicalized form.
