## Comparison table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
   - The empirical matrix strongly supports a separate area for checking, confirming, establishing, and testing.
   - This aligns very well with **VERIF** as a distinct axis.

2. **Authenticity asymmetry**
   - The empirical matrix strongly supports:
     - checking authenticity,
     - exposing forgery,
     - causing falsification,
     - but not “making something authentic.”
   - This strongly supports **R3**.

3. **Dispositional causation blocking**
   - The empirical matrix blocks direct causative and inchoative patterns for reliability/trustworthiness.
   - This strongly supports **R1**, assuming AOML’s placement of reliability under SINC.

4. **Revelation preference**
   - The empirical matrix repeatedly shows that truth-related dynamics are often expressed as revelation/exposure rather than simple becoming.
   - This strongly supports AOML’s provisional **REVEAL** operator.

5. **Essence as non-causable**
   - The empirical matrix blocks causative essence constructions.
   - This strongly supports **R2**.

6. **Positive/negative asymmetry in becoming**
   - The empirical matrix repeatedly shows that negative emergence is weaker or more restricted than positive emergence.
   - This supports **R4 Positive Emergence Bias**.

### Where AOML may require refinement
Several empirical findings suggest that AOML’s current partitioning may be too coarse in some areas.

1. **Precision / exactness / accuracy**
   - Empirically this is a major dimension.
   - AOML currently has no dedicated axis for it.
   - Folding it into VER or VERIF loses the distinction between:
     - truth of propositions,
     - correctness,
     - and exactness of detail.

2. **Formal validity**
   - Empirically this behaves like a major dimension across many languages.
   - AOML distributes it across NORM and VERIF.
   - That may be too indirect for the empirical pattern.

3. **Conformity / correspondence / matching**
   - Empirically this is a major cross-linguistic zone.
   - AOML has no single place for it.
   - It gets split across VER, AUTH, NORM, VERIF, and LIFE.

4. **Credibility / plausibility**
   - Empirically this is distinct from reliability in several languages.
   - AOML has no dedicated axis for it.
   - Mapping it to LIFE creates problems, especially because empirical data allows abstract nominalization while LIFE blocks ABSTR.

5. **Resemblance / similarity**
   - Empirically this is robust and often nominalizable.
   - Mapping it to LIFE also creates tension with AOML’s blocked ABSTR for LIFE.

### Where empirical findings suggest new dimensions
Without modifying AOML, the empirical matrix suggests that the following may deserve stronger theoretical attention as possible dimensions or sub-architectures:

- **Precision / exactness / accuracy**
- **Formal validity / procedural standing**
- **Conformity / correspondence**
- **Credibility / plausibility**
- **Resemblance / similarity**

These are all empirically robust enough that forcing them into existing axes causes loss or conflict.

### Where empirical findings suggest revised constraint strength
The empirical matrix suggests some AOML restrictions may need recalibration in strength:

- **VER × CAUSE** may be too permissive in AOML; empirically, broad “make true” is more strongly blocked.
- **AUTH × BECOME** may also be too permissive; empirically, “become genuine/authentic” is more strongly blocked.
- **SINC × BECOME** may be too permissive if reliability is included there; empirically, becoming reliable is broadly blocked.
- **ESS × BECOME** may be too strict; empirically, the matrix gives variable rather than fully blocked behavior for essence/true-identity expressions.
- **LIFE × ABSTR blocked** appears too strong if resemblance and plausibility are housed there, because empirical data supports abstract nouns in those areas.

## Overall assessment
AOML is most convincing where it models:
- operator asymmetries,
- causation restrictions,
- revelation preference,
- and target-type effects.

It is less convincing where it must absorb several empirically robust semantic dimensions into broader axes:
- precision,
- validity,
- conformity,
- credibility,
- resemblance.

So the empirical matrix supports AOML most strongly as a **constraint architecture over operator behavior**, and less strongly as a complete **inventory of semantic dimensions**.
