# G7b — Empirical vs AOML Constraint Comparison

---

## Preliminary Notes

The empirical matrix (G7a) was derived inductively from F-phase cross-linguistic data across 8 languages (ka, yo, fi, eu, ta, id, tr, ko). The AOML matrix is a theoretical model with 7 primary axes, 2 meta-axes, 7 core operators, 4 levels, and 6 structural rules. The comparison below maps empirical dimensions (D1–D12) and constructional functions (CF1–CF12) against AOML structures where mappings are supportable. Where no mapping is supportable, this is stated explicitly.

The two systems are not isomorphic. The empirical system has 12 semantic dimensions and 12 constructional functions. AOML has 7 primary axes, 7 operators, and 6 structural rules. Several empirical dimensions map to subregions within a single AOML axis; several AOML axes have no direct empirical dimension counterpart; several empirical constructional functions have no AOML operator equivalent.

---

## Comparison Table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
| AOML Rule R6: TEMP[A] cannot substitute for A | Not directly tested | Not directly tested | TEMP[A] ≠ A | INSUFFICIENT DATA | The empirical data does not include temporal constructions as a distinct dimension. The TEMP meta-axis is provisional in AOML and is not tested by the available empirical data. |

---

## Summary

### Confirmed Patterns

**1. ATTR is universally licensed across all primary axes (D1–D12 × CF1).**
Every empirical dimension shows ALLOWED for predicative attribution across all 8 languages. This is the strongest positive confirmation of AOML's licensing of ATTR as a universal operator. The confirmation is direct and unrestricted.

**2. CONTR is universally licensed across all primary axes (D1–D12 × CF2).**
Negative attribution is universally available. AOML's licensing of CONTR is confirmed across all 8 languages and all 12 dimensions.

**3. ABSTR is universally licensed for VER, AUTH, SINC, NORM, VERIF (D1–D6, D9, D11 × CF6).**
Abstract nominalization is universally productive for these dimensions. AOML's licensing of ABSTR on these axes is confirmed. The specific suffix varies but the functional outcome is consistent.

**4. Rule R1 (CAUSE × SINC universally blocked) is strongly confirmed.**
The empirical data confirms that direct causation of dispositional character traits (honesty, sincerity, integrity) is blocked across all 8 languages. This is the strongest single empirical-AOML alignment in the dataset. The block is consistent across South Caucasian, Niger-Congo, Finno-Ugric, language isolate, Dravidian, Austronesian, Turkic, and Koreanic language families. The empirical finding was derived independently from the AOML prediction and converges on the same result.

**5. Rule R3 (CAUSE(+) × AUTH blocked; CAUSE(−) × AUTH licensed) is confirmed.**
The empirical data confirms the polarity asymmetry for authenticity causation: "manufacture authentic goods" is blocked across all 8 languages; "forge the document" is natural across all 8 languages. This is a strong empirical-AOML alignment.

**6. Rule R4 (Positive emergence bias) is confirmed.**
The empirical data confirms that positive emergence (truth comes to light, claim turns out to be true) is natural and productive across all 8 languages, while negative emergence (truth becomes false) is marked or blocked. The asymmetry is consistent across language families.

**7. CF10 (Truth-Revelation / Concealment) × D1 and D10 is strongly confirmed.**
The intransitive truth-revelation construction (truth as grammatical subject of emergence verb) is documented in all 8 languages. This is the primary empirical evidence for REVEAL as a candidate primitive operator. The construction is consistent with AOML's provisional licensing of REVEAL on VER.

**8. ATTR × VERIF is confirmed (D9 × CF1, CF3, CF6).**
Evidence and proof vocabulary is universally available for predicative attribution, adnominal modification, and abstract nominalization. AOML's licensing of ATTR on VERIF is confirmed.

**9. CAUSE × VERIF is confirmed (D9 × CF5).**
Causative constructions for proving and verifying are attested across all 8 languages. AOML's licensing of CAUSE × VERIF under conditions is confirmed.

**10. DEG meta-axis is confirmed for D6 × CF9.**
Scalar evaluation of precision (accuracy is high/low) is the canonical use case for DEG[VER]. The empirical data confirms that scalar predication constructions are available and natural for precision evaluation, consistent with AOML's treatment of DEG as a meta-axis modulator of VER.

---

### Partial or Conditional Matches

**1. D3 (Source Trustworthiness vs. Content Credibility) maps onto two AOML axes (SINC and VER).**
The empirical source/content distinction is coherent within AOML but requires two axes rather than one. Source trustworthiness maps to SINC (reliability, faithfulness subregion); content credibility maps to VER. AOML does not model this as a single dimension but the two-axis mapping is internally consistent. Some information is lost: the empirical distinction between source and content evaluation is finer-grained than AOML's axis structure captures.

**2. D6 (Precision and Exactness) maps onto DEG[VER] in AOML.**
The empirical precision dimension is finer-grained than AOML's treatment. AOML handles precision as a DEG modulation of VER rather than as a primary axis. The scalar predication constructions (accuracy is high/low) are consistent with DEG[VER]. The empirical dimension is not lost but is subsumed under a meta-axis modulation. The absence of proverbial constructions for D6 is predicted by this mapping (proverbial constructions are associated with primary axes, not meta-axis modulations).

**3. D7 (Authenticity of Inner States) maps onto SINC in AOML, but the causative conflict is partial.**
Rule R1 predicts that direct causation of inner-state authenticity is blocked. Empirical data confirms the block on direct causation. Some indirect facilitation constructions are attested in eu and ko. The conflict is partial: direct causation of the dispositional state is blocked, but indirect facilitation (creating conditions for authenticity) is attested. AOML's R1 as stated does not explicitly distinguish direct from indirect causation.

**4. D8 (Appearance vs. Underlying Reality) maps onto STRAT in AOML.**
The appearance/reality contrast is consistent with STRAT — the operator marking internal contrast within an axis. AOML licenses STRAT on VER and AUTH. The empirical dimension is not lost but is subsumed under an operator rather than a primary axis. The mapping is not unique: D8 could map to STRAT × VER, STRAT × AUTH, or ESS depending on the specific construction.

**5. D11 (Correctness of Reasoning) maps onto VERIF and NORM in AOML.**
The empirical dimension conflates logical reasoning correctness (VERIF) and moral/practical judgment correctness (NORM). AOML does not model this as a single dimension but the two-axis mapping is coherent. Some information is lost in the mapping.

**6. D12 (Deliberate Deception vs. Innocent Error) requires two AOML axes (VER + SINC).**
The empirical distinction between deliberate deception and innocent error requires both the falsity of the claim (VER) and the deceptive intent of the agent (SINC). AOML does not model this as a single dimension but the two-axis mapping is coherent and consistent with R1.

**7. BECOME × NORM and BECOME × VERIF are restricted but not blocked.**
Empirical data shows inchoative constructions for validity/legitimacy and reasoning correctness are attested but less productive than for D1 or D4. AOML restricts BECOME on these axes. The empirical data is consistent with restriction rather than blocking.

**8. DEG as meta-axis modulation is partially confirmed.**
Scalar predication constructions (accuracy is high/low, credibility is high/low) are consistent with DEG modulating VER and SINC. However, the empirical data does not directly test the substitution prohibition (Rule R5). The prohibition is a constraint on inference, not on the availability of scalar constructions. The empirical data confirms DEG is available but does not confirm or disconfirm the substitution prohibition.

**9. CF5 × D1 (Causative for propositional truth) is partially confirmed.**
Causative constructions for truth-states are available but less consistently documented than for D4 or D9. AOML licenses CAUSE × VER for factual targets but notes it is restricted. The empirical VARIABLE rating for some D1 causative constructions is consistent with restriction rather than blocking.

---

### Conflicts

**1. D4 (Genuineness of Objects): neutral-copy / fraudulent-fake three-way distinction conflicts with AOML's binary AUTH modeling.**
AOML models AUTH as a binary (genuine vs. counterfeit) without a neutral intermediate position. The empirical data documents a consistent three-way distinction in at least 6 languages: original/genuine (AUTH positive), neutral copy/imitation (AUTH neutral intermediate), and fraudulent fake (AUTH negative, CAUSE(−) applied). The neutral intermediate (imitation without fraudulent intent) is a stable cross-linguistic category that falls outside AOML's current AUTH modeling. This is a genuine structural gap in AOML.

**Severity assessment:** Moderate. The conflict is real but may be resolvable by adding a neutral intermediate position to the AUTH axis, distinguishing CAUSE(−) applied with fraudulent intent from CAUSE(−) applied without fraudulent intent.

**2. D11 (Correctness of Reasoning): D1/D11 merger in Yoruba and Tamil conflicts with AOML's VER/NORM axis separation.**
In yo and ta, the same root covers both propositional correctness (D1/VER) and procedural/moral correctness (D11/NORM) without lexical differentiation. AOML treats VER and NORM as distinct primary axes with different default methods and validation habitats. The empirical merger in two unrelated language families suggests the VER/NORM boundary may be less stable cross-linguistically than AOML assumes.

**Severity assessment:** Moderate. The conflict may be resolvable by treating the merger as a language-specific subregion overlap rather than a structural conflict, or by acknowledging that the VER/NORM boundary is a gradient rather than a sharp distinction in some languages.

**3. D7 (Authenticity of Inner States) × CF5: partial conflict with Rule R1.**
Rule R1 predicts universal blocking of CAUSE × SINC. Empirical data shows some indirect facilitation constructions for inner-state authenticity are attested in eu (*zintzotu eragin*) and ko (*진정성을 높이다*). These constructions appear to cause conditions for authenticity rather than authenticity itself, but the boundary between direct and indirect causation is not clearly specified in AOML. This is a genuine tension that requires clarification.

**Severity assessment:** Low to moderate. The conflict is real but may be resolvable by distinguishing direct causation of the dispositional state from indirect facilitation of conditions for that state. AOML's R1 as stated ("direct causation of dispositional character traits is structurally prohibited") may be too broad if it blocks indirect facilitation constructions that are empirically attested.

---

### Unmodeled Empirical Findings

**1. The positive agentive nominalization block (CF7 positive role) is not predicted by AOML.**
The most consistently documented empirical finding in the dataset — that no language has a lexicalized single-word agentive for a habitual truth-teller, honest person (as a role noun), or authenticator — is not predicted or explained by AOML. AOML does not model agentive nominalization as a distinct operator. The asymmetry between negative agentive availability (liar, forger, deceiver: ALLOWED in all 8 languages) and positive agentive unavailability (truth-teller, honest person: BLOCKED in all 8 languages) is a robust cross-linguistic finding that falls outside AOML's current architecture.

**2. Discourse framing constructions (CF8) are not modeled by AOML.**
The grammaticalized or semi-grammaticalized discourse markers for frank disclosure and correction of prior assumptions (id *sebenarnya*, tr *aslında*, ta *uṇmaiyil*, ka *simartle rom vtq̇vat*) are not captured by any AOML operator. These constructions function at the pragmatic-discourse level rather than the semantic-structural level that AOML models.

**3. Proverbial / fixed moral assertion constructions (CF12) are not modeled by AOML.**
The cross-linguistic proverbial pattern asserting the ultimate triumph or indestructibility of truth (yo *òtítọ́ kò ní kú*, ta *uṇmai tāṉ vellum*, ko *진실은 하나다*) is not captured by any AOML operator. These constructions function at the pragmatic-cultural level.

**4. The neutral-copy / fraudulent-fake three-way distinction within D4 is not modeled by AOML.**
The empirical data documents a consistent three-way distinction in at least 6 languages: original/genuine, neutral copy/imitation, and fraudulent fake. AOML models AUTH as a binary without a neutral intermediate position. The neutral intermediate (imitation without fraudulent intent) is a stable cross-linguistic category that falls outside AOML's current AUTH modeling.

**5. The D1/D11 merger in Yoruba and Tamil is not predicted by AOML.**
In yo and ta, the same root covers both propositional correctness (D1) and procedural/moral correctness (D11) without lexical differentiation. AOML treats VER and NORM as distinct axes. The empirical merger in two unrelated language families suggests the VER/NORM boundary may be less stable cross-linguistically than AOML assumes.

**6. The Korean *있다/없다* existential frame as the primary predication strategy for *-seong* nominals is not predicted by AOML.**
The morphological restriction in Korean that blocks *-hada* predicative suffixation on *-seong* quality nominals, forcing the existential *있다/없다* frame, is a language-specific constructional constraint not modeled by AOML. AOML does not model morphological restrictions on predication strategies.

**7. The three-way inchoative verb distinction in Korean (*드러나다/밝혀지다/판명되다*) is not predicted by AOML.**
Korean documents three distinct inchoative verbs for truth-revelation with different nuances of agency, formality, and the nature of the revelation process. AOML models REVEAL as a single provisional operator without internal differentiation.

**8. The parallel morphological opposition pattern (CF11) in Turkish is not predicted by AOML.**
The tr *doğrulamak/yanlışlamak* productive morphological pair encoding the verify/falsify distinction, with parallel *doğrulanabilirlik/yanlışlanabilirlik* nominalizations, is a language-specific elaboration not predicted by AOML.

**9. The source/content distinction within D3 is not modeled as a single dimension in AOML.**
The empirical data consistently documents a distinction between source trustworthiness (whether a source can be depended upon) and content credibility (whether a specific claim merits belief) as a single evaluative dimension. AOML requires two axes (SINC and VER) to capture this distinction, losing the unity of the empirical dimension.

---

### Unattested AOML Structures

**1. AOML LIFE axis is not directly tested by the empirical data.**
The empirical data does not include a lifelikeness or verisimilitude dimension as a distinct semantic category. D6 (Precision and Exactness) partially overlaps with LIFE but is more naturally mapped to DEG[VER]. The LIFE axis's key diagnostic — that ABSTR × LIFE is blocked and REVEAL × LIFE is blocked — cannot be evaluated from the available data.

**2. AOML Rule R2 (CAUSE × ESS blocked; BECOME × ESS blocked) is not directly tested.**
D8 (Appearance vs. Underlying Reality) partially maps to ESS but the empirical data does not directly test CAUSE × ESS or BECOME × ESS as distinct constructions. The empirical data is consistent with R2 but does not provide direct confirmation.

**3. AOML Rule R6 (TEMP meta-axis) is not tested.**
The empirical data does not include temporal constructions as a distinct dimension. The TEMP meta-axis is provisional in AOML and is not evaluated by the available empirical data.

**4. AOML REVEAL provisional operator: the LIFE-blocks-REVEAL diagnostic is not testable.**
The key diagnostic for REVEAL as a primitive — that LIFE blocks REVEAL while other axes license it — cannot be evaluated because the empirical data does not include a LIFE dimension.

**5. AOML ESS axis is only partially tested.**
D8 (Appearance vs. Underlying Reality) partially maps to ESS, but the empirical data does not provide a direct test of ESS-specific operator licensing. The ESS axis's distinctive predictions (CAUSE blocked, BECOME blocked, RESULT restricted) are not directly confirmed or disconfirmed by the available data.

**6. AOML Rule R5 substitution prohibition is not directly tested.**
The empirical data confirms that scalar predication constructions (DEG[VER]) are available, but does not directly test whether DEG[VER] is ever used to substitute for VER in an inference step. The prohibition is a constraint on inference, not on the availability of scalar constructions, and the empirical data collection methodology did not specifically target inference-level substitution errors.

---

## Theoretical Discussion

### Where AOML Appears Strongly Supported

**Rule R1 (Dispositional Causation Block) receives the strongest empirical support in the dataset.** The universal blocking of direct causation of dispositional character traits (honesty, sincerity, integrity) across all 8 languages and all language families is the most robust single finding. The empirical data independently confirms AOML's strongest structural rule. This alignment is particularly significant because it was derived from 16 languages in AOML and is confirmed here by 8 additional languages using a different data collection methodology. The convergence across South Caucasian, Niger-Congo, Finno-Ugric, language isolate, Dravidian, Austronesian, Turkic, and Koreanic families is strong evidence that R1 reflects a genuine structural constraint rather than a sampling artifact.

**Rule R3 (Authenticity Polarity Asymmetry) receives strong empirical support.** The blocking of CAUSE(+) × AUTH and the licensing of CAUSE(−) × AUTH is confirmed by the empirical data. The polarity asymmetry is consistent across all 8 languages. This alignment supports AOML's treatment of AUTH as an ontological target type where positive causation is blocked but negative causation (forgery, destruction of authenticity) is licensed.

**Rule R4 (Positive Emergence Bias) receives strong empirical support.** The universal preference for positive emergence constructions (truth comes to light, claim turns out to be true) over negative emergence constructions (truth becomes false) is confirmed across all 8 languages. The intransitive truth-revelation construction (CF10) is the canonical realization of this bias.

**The REVEAL provisional operator receives strong indirect support.** The intransitive truth-revelation construction is documented in all 8 languages across unrelated language families. The construction presupposes a latent pre-existing state that was already true before disclosure — precisely the presupposition that distinguishes REVEAL from RESULT + STRAT. The empirical data supports AOML's provisional licensing of REVEAL on VER and its identification as a candidate primitive. The remaining obstacle to confirmation — cross-architectural validation using non-Claude LLM families — is a methodological constraint rather than an empirical one. The current empirical data is consistent with REVEAL being a genuine primitive.

**The target-type ontology receives indirect support.** The empirical data is consistent with AOML's three-way target-type classification (FACTUAL, EPISTEMIC, DISPOSITIONAL). The differential operator licensing across these types — CAUSE licensed for factual targets (D4, D9, D10), blocked for dispositional targets (D2, D7), restricted for epistemic targets (D1, D11) — is confirmed by the empirical data. The deep hypothesis that the target-type ontology may be structurally prior to the operator licensing matrix is consistent with the empirical findings, though not directly testable from the current data.

**The DEG meta-axis is confirmed as a modulator rather than a primary axis.** The empirical data confirms that scalar predication constructions (accuracy is high/low, credibility is high/low) are available and natural for precision evaluation (D6), consistent with AOML's treatment of DEG as a meta-axis modulator of VER. The absence of proverbial constructions for D6 is predicted by this mapping: proverbial constructions are associated with primary axes, not meta-axis modulations. This is a subtle but genuine confirmation of the meta-axis architecture.

### Where AOML May Require Refinement

**1. Rule R1 may need to distinguish direct from indirect causation more explicitly.**
The empirical data shows that while direct causation of dispositional character traits is universally blocked, indirect facilitation constructions (creating conditions for honesty, encouraging authenticity) are attested in some languages (eu *zintzotu eragin*, ko *진정성을 높이다*). AOML's R1 as stated ("direct causation of dispositional character traits is structurally prohibited") is consistent with this distinction but does not make it explicit. A refinement would specify that R1 blocks CAUSE applied directly to the dispositional state but does not block CAUSE applied to conditions that may facilitate the dispositional state. Without this refinement, R1 as stated would incorrectly predict that the eu and ko indirect facilitation constructions are blocked.

**2. The AUTH axis may need a neutral intermediate position.**
The empirical data documents a consistent three-way distinction in at least 6 languages: original/genuine (AUTH positive), neutral copy/imitation (AUTH neutral intermediate), and fraudulent fake (AUTH negative). AOML models AUTH as a binary (genuine vs. counterfeit) without a neutral intermediate. A refinement would add a neutral intermediate position to the AUTH axis, distinguishing CAUSE(−) applied with fraudulent intent from CAUSE(−) applied without fraudulent intent. This would capture the empirically documented distinction between *jäljitelmä* (imitation, neutral) and *väärennös* (forgery, fraudulent) in Finnish, *nakal* (copy, neutral) and *pōli* (fake, negative) in Tamil, and parallel distinctions in at least four other languages.

**3. The VER/NORM boundary may be less stable cross-linguistically than AOML assumes.**
The empirical D1/D11 merger in Yoruba and Tamil — where the same root covers both propositional correctness (VER) and procedural/moral correctness (NORM) — suggests that the VER/NORM boundary is not universally maintained. AOML treats VER and NORM as distinct primary axes with different default methods and validation habitats. The empirical merger in two unrelated language families suggests that the boundary may be a gradient rather than a sharp distinction in some languages. A refinement would acknowledge that VER and NORM may share a common root in some languages and that the boundary between them is a secondary elaboration rather than a primitive distinction.

**4. The agentive nominalization asymmetry requires modeling.**
The most consistently documented empirical finding — the universal blocking of positive agentive nominals for truth-tellers, honest persons, and authenticators — is not predicted by AOML. This asymmetry is consistent across all 8 languages and all language families. A refinement would add a constraint to the operator system specifying that ABSTR applied to the positive pole of SINC and VER in agentive nominalization contexts is blocked or strongly dispreferred. The constraint may be related to R1 (if dispositional character traits cannot be externally caused, they may also resist being named as stable role identities) or may be an independent constraint. Without this addition, AOML cannot account for one of the most robust cross-linguistic findings in the dataset.

**5. The discourse-framing and proverbial construction types require acknowledgment.**
AOML does not model discourse-level framing constructions (CF8) or proverbial/fixed moral assertion constructions (CF12). These are pragmatic-level phenomena that fall outside AOML's current semantic-structural scope. A refinement would acknowledge these as pragmatic projections of the semantic structure rather than as gaps in the model. The discourse-framing constructions (id *sebenarnya*, tr *aslında*, ta *uṇmaiyil*) are grammaticalized realizations of STRAT × VER — the contrast between surface appearance and underlying reality. The proverbial constructions are culturally fixed realizations of RESULT × VER with a temporal dimension (truth will eventually prevail). Acknowledging these as pragmatic projections would not require adding new operators but would clarify the scope of the model.

### Where Empirical Findings Suggest New Dimensions, Constructional Constraints, or Revised Constraint Strength

**1. The positive agentive nominalization block may be a new structural rule.**
The universal blocking of positive agentive nominals for truth-tellers and honest persons across all 8 languages and all language families is a robust empirical finding that AOML does not currently model. This finding suggests a new structural rule: **ABSTR(agentive) × SINC(positive pole) → blocked; ABSTR(agentive) × VER(positive pole) → blocked**. The rule would explain why "truth-teller" and "honest person" (as role nouns) are universally absent while "liar" and "forger" are universally present. The rule may be derivable from R1 (if dispositional character traits cannot be externally caused, they resist being named as stable role identities) or may be an independent constraint. The empirical evidence for this rule is as strong as the evidence for R1 itself: it is documented in all 8 languages across all language families, with no exceptions.

**2. The neutral-copy intermediate in AUTH may require a new subregion or axis-internal distinction.**
The consistent three-way distinction (original/neutral copy/fraudulent fake) in at least 6 languages suggests that AUTH has an internal structure that AOML does not currently model. The neutral intermediate is not simply a weaker version of the fraudulent fake — it has different operator licensing (CAUSE(−) without fraudulent intent is licensed; CAUSE(−) with fraudulent intent is the canonical AUTH violation). A new subregion within AUTH — distinguishing CAUSE(−) with intent from CAUSE(−) without intent — would capture this distinction without requiring a new primary axis.

**3. The D1/D11 merger in Yoruba and Tamil suggests that VER and NORM may share a common root in some languages.**
The empirical merger of propositional correctness (VER) and procedural/moral correctness (NORM) in two unrelated language families suggests that the VER/NORM distinction may be a secondary elaboration rather than a primitive distinction. AOML treats VER and NORM as distinct primary axes. The empirical data suggests that some languages treat them as subregions of a single correctness axis. This does not necessarily require revising AOML's axis structure, but it suggests that the VER/NORM boundary should be treated as a gradient rather than a sharp distinction, and that the two axes may be more closely related than the current architecture implies.

**4. The REVEAL operator's empirical support is strong enough to warrant elevation from provisional to confirmed status, pending cross-architectural validation.**
The intransitive truth-revelation construction is documented in all 8 languages across unrelated language families. The construction's presupposition of a latent pre-existing state is consistent across languages. The empirical data provides strong support for REVEAL as a primitive operator. The remaining obstacle to confirmation — cross-architectural validation using non-Claude LLM families — is a methodological constraint rather than an empirical one. The current empirical data is consistent with REVEAL being a genuine primitive, and the strength of the evidence (8 additional languages, all confirming) supports moving toward confirmation.

**5. The source/content distinction within D3 may require a new axis-internal distinction within SINC.**
The empirical data consistently documents a distinction between source trustworthiness (whether a source can be depended upon) and content credibility (whether a specific claim merits belief) as a single evaluative dimension. AOML requires two axes (SINC and VER) to capture this distinction. The consistent cross-linguistic pairing of these two evaluative targets suggests they may be more closely related than a two-axis mapping implies. A refinement would acknowledge that the source/content distinction is a stable cross-linguistic evaluative dimension that straddles the SINC/VER boundary, and that this boundary may be less sharp in the credibility domain than in other domains.

**6. The constraint strength of CAUSE × VER may need upward revision.**
The empirical data shows that causative constructions for truth-revelation and concealment (to reveal the truth, to conceal the truth) are attested across all 8 languages and are among the most consistently documented causative patterns in the dataset. AOML rates CAUSE × VER as "restricted." The empirical data suggests that CAUSE × VER in the truth-revelation/concealment domain is more robustly licensed than the "restricted" rating implies. A refinement would distinguish CAUSE × VER in the revelation/concealment domain (strongly licensed) from CAUSE × VER in the truth-manufacturing domain (more restricted).
