# G6 — CROSS-LANGUAGE OPPOSITION AND ASYMMETRY COMPARISON

## 1. Cross-Language Opposition Inventory

### 1.1 Core Lexical Oppositions (Attested in All 8 Languages)

| Contrast Structure | Language | Form A | Form B | Contrast Strategy | Notes on Symmetry, Restriction, or Gaps |
- **Greek**: βεβαιώνω vevaióno "confirm" [CORE] vs. διαψεύδω diapsévdo [MARGINAL]
- **English**: verify/prove [CORE] vs. falsify (different root, less common)
- **Tagalog**: patunayan "prove" [CORE] vs. no causative from mali [GAP]
- **Swahili**: thibitisha "confirm" [CORE] vs. no causative from uongo [GAP]
- **Quechua**: chiqanchay "verify" [CORE] vs. llullachiy "cause to lie" (not "make false")

**Interpretation**: Truth-establishment is conceptualized as active process requiring causative morphology. Falsification is conceptualized differently:
1. As deception (causing false belief, not making false)
2. As corruption (destroying truth)
3. As forgery (creating false documents)

Rather than direct causation of falsity.

**RESTRICTION 3: Positive Agentive Blocking**

**Pattern**: Agentive nominalization for "liar" is productive; for "truth-teller" it is blocked or uses circumlocution in most languages.

**Evidence from F6** (inferred from F1/F2 data, as F6 doesn't directly test agentives):
- **Productive liar**: Hebrew שקרן [CORE], Greek ψεύτης [CORE], Swahili mwongo [CORE], Quechua llullakuq [CORE]
- **Blocked/circumlocutory truth-teller**: Chinese 说真话的人 [circumlocution], Hebrew דובר אמת [participial], English truth-teller [MARGINAL], Tagalog [GAP], Swahili mwenye ukweli [possessive]
- **Exceptions**: Sanskrit सत्यवादिन् [CORE], Quechua chiqan rimaq [CORE - compound]

**Interpretation**: Negative moral agents more readily lexicalized than positive. This represents systematic cross-linguistic asymmetry in agentive formation.

**RESTRICTION 4: Objects Becoming Genuine**

**Pattern**: Constructions for objects spontaneously "becoming genuine" are blocked or absent across languages.

**Evidence from F6**:
- **Chinese**: No common expression [GAP]
- **Hebrew**: No common expression [GAP]
- **Greek**: No common expression [GAP]
- **English**: No common expression [GAP]
- **Tagalog**: Marginal constructions
- **Swahili**: No common expression [GAP]
- **Quechua**: No common expression [GAP]

**Interpretation**: Authenticity is conceptualized as inherent property established through verification, not as state that objects spontaneously achieve. Languages describe:
1. Verification of authenticity (was proven genuine)
2. Discovery of authenticity (turned out to be genuine)

Rather than objects "becoming genuine" on their own.

---

### 2.4 Substitution Patterns (Where One Construction Replaces Another)

**SUBSTITUTION 1: Revelation Constructions Replace Simple Inchoatives**

**Pattern**: Languages prefer revelation/discovery constructions over simple "become true" even when inchoative morphology is available.

**Evidence from F6**:
- **Chinese**: Prefers 真相大白 zhēnxiàng dàbái "truth becomes bright" [CORE] over 变真 biàn zhēn [MARGINAL]
- **Hebrew**: Uses התברר hitbarer "became clear" [CORE] rather than inchoative of אמת
- **Greek**: Prefers βγαίνει η αλήθεια vgaíni i alítheia "truth comes out" [CORE] over γίνεται αληθινό [MARGINAL]
- **English**: Uses "the truth came out" [CORE], "proved true" [CORE] rather than *became true [MARGINAL]
- **Swahili**: Uses ukweli umedhihirika "truth has become evident" [CORE] over simple inchoative

**Interpretation**: Metaphorical revelation constructions functionally replace simple inchoatives for truth-domain. This represents constructional substitution driven by conceptual metaphor: TRUTH IS HIDDEN OBJECT THAT EMERGES.

**SUBSTITUTION 2: Deception Verbs Replace Falsification Causatives**

**Pattern**: Languages use deception verbs (deceive, mislead, trick) rather than causatives meaning "make false."

**Evidence from F6**:
- **Chinese**: Uses 欺骗 qīpiàn "deceive" [CORE] rather than causative from 假
- **Hebrew**: Uses הטעה hit'a "misled" [CORE] rather than causative from שקר
- **Greek**: Uses παραπλανώ paraplanó "mislead" [CORE] rather than causative from ψευδής
- **English**: Uses deceive/mislead [CORE] rather than *make false
- **Tagalog**: Uses daya/linlang "deceive/trick" [CORE] rather than causative from mali
- **Swahili**: Uses -danganya "deceive" [CORE] rather than causative from uongo
- **Quechua**: llullachiy means "cause to lie/deceive" [CORE] not "make false"

**Interpretation**: Falsification is achieved through deception (causing false belief) rather than direct causation of falsity. This represents functional substitution: deception verbs replace falsification causatives.

**SUBSTITUTION 3: Circumlocution Replaces Agentive Derivation (Positive)**

**Pattern**: Languages use participial phrases, possessive constructions, or compounds for "truth-teller" rather than productive agentive derivation.

**Evidence from F1/F2** (F6 doesn't test agentives directly):
- **Chinese**: 说真话的人 shuō zhēnhuà de rén [circumlocution] replaces *真者
- **Hebrew**: דובר אמת dover emet [participial phrase] replaces *אמתן
- **Greek**: (no single word) [GAP]; uses circumlocution
- **English**: truth-teller [MARGINAL compound] replaces *truther
- **Swahili**: mwenye ukweli [possessive phrase] replaces agentive derivation

**Interpretation**: Periphrastic description functionally replaces morphological agentive derivation for positive moral agents. This represents systematic substitution pattern across unrelated languages.

**SUBSTITUTION 4: General Maintenance Verbs Replace Dedicated Truth-Preservation**

**Pattern**: Languages use general preservation/maintenance verbs (keep, preserve, maintain) rather than dedicated "preserve truth" constructions.

**Evidence from F6**:
- **Chinese**: 保持真实 bǎochí zhēnshí uses general 保持 "maintain" [CORE]
- **Hebrew**: שמר על האמת shamar al ha'emet uses general שמר "guard/keep" [CORE]
- **Greek**: διατηρώ την αλήθεια uses general διατηρώ "maintain" [CORE]
- **English**: keep/maintain truth uses general verbs [CORE]
- **Swahili**: hifadhi ukweli uses general hifadhi "preserve" [CORE]

**Interpretation**: Maintaining truth is not conceptualized as distinct from general preservation. General maintenance verbs functionally replace any potential dedicated truth-preservation constructions.

---

## 3. Cross-Language Asymmetries

### 3.1 Directionality Asymmetries (One Direction Productive, Other Blocked)

**ASYMMETRY 1: Verification vs. Falsification (Causative)**

**Pattern**: Causatives for "make true/verify" are productive across languages; causatives for "make false/falsify" are rare or use different strategies.

**Evidence**:
- **Productive verification**: Hebrew אימת [CORE], Greek βεβαιώνω [CORE], Tagalog patunayan [CORE], Swahili thibitisha [CORE], Quechua chiqanchay [CORE]
- **Blocked/rare falsification**: All languages lack productive causative from false/lie roots or show marginal status

**Strength**: **STRONG RECURRENT PATTERN** across all 8 languages.

**Interpretation**: Truth-establishment conceptualized as active process; falsification conceptualized as deception, corruption, or passive state rather than direct causation.

---

**ASYMMETRY 2: Truth Revelation vs. Falsehood Exposure (Intransitivity)**

**Pattern**: Truth revelation constructions are typically intransitive (truth emerges on its own); falsehood exposure requires transitive agent (someone exposes lies).

**Evidence from F5**:
- **Chinese**: 真相大白 zhēnxiàng dàbái (intransitive) vs. 揭露真相 jiēlù zhēnxiàng (transitive "expose truth")
- **Hebrew**: האמת תצא לאור ha'emet tetse la'or (intransitive) vs. לחשוף שקר laḥsof sheker (transitive "expose lie")
- **Greek**: βγαίνει η αλήθεια vgaíni i alítheia (intransitive) vs. ξεσκεπάζω το ψέμα xeskepázo to pséma (transitive "uncover lie")
- **English**: "the truth will out" (intransitive) vs. "expose the lie" (transitive)
- **Tagalog**: lumabas ang katotohanan (intransitive) vs. ilantad ang kasinungalingan (transitive)
- **Swahili**: ukweli unadhihirika (passive/intransitive) vs. (transitive exposure verbs)

**Strength**: **STRONG RECURRENT PATTERN** across 6/8 languages.

**Interpretation**: Conceptual asymmetry: truth reveals itself spontaneously; lies require active exposure by agents. This suggests truth conceptualized as having inherent tendency to emerge; falsehood requires external force to be revealed.

---

**ASYMMETRY 3: Positive vs. Negative Agentive Nominalization**

**Pattern**: Agentive formation for "liar/deceiver" is productive; for "truth-teller" it is blocked or uses circumlocution.

**Evidence from F1/F2**:
- **Productive negative**: Hebrew שקרן [CORE], Sanskrit मिथ्यावादिन् [CORE], Greek ψεύτης [CORE], Tagalog sinungaling [CORE], Swahili mwongo [CORE], Quechua llullakuq [CORE], English liar [CORE - suppletive]
- **Blocked/circumlocutory positive**: Chinese [circumlocution], Hebrew [participial], Greek [GAP], English truth-teller [MARGINAL], Tagalog [GAP], Swahili [possessive]
- **Exceptions**: Sanskrit सत्यवादिन् [CORE], Quechua chiqan rimaq [CORE - compound]

**Strength**: **STRONG RECURRENT PATTERN** across 7/8 languages (only Sanskrit shows symmetry).

**Interpretation**: Negative moral agents more salient for lexicalization than positive. Reflects universal cognitive/social bias toward marking threats or violations.

---

**ASYMMETRY 4: Inchoative "Become True" vs. "Become Good"**

**Pattern**: "Become good/better" is productive; "become true" is restricted or uses different constructions.

**Evidence from F6**:
- **Chinese**: 变好 biàn hǎo "become good" [CORE] vs. 变真 biàn zhēn "become true" [MARGINAL]
- **Hebrew**: להשתפר lehistaper "improve" [CORE] vs. uses התברר "became clear" for truth
- **Greek**: γίνομαι καλύτερος "become better" [CORE] vs. γίνεται αληθινό [MARGINAL]
- **English**: improve [CORE] vs. *become true [MARGINAL], come true [CORE - restricted]
- **Quechua**: allinyay "become good" [CORE] vs. chiqanyay [MARGINAL]

**Strength**: **STRONG RECURRENT PATTERN** across 5/8 languages explicitly.

**Interpretation**: General improvement is conceptualized as change-of-state; truth is conceptualized as revelation of pre-existing state. Different conceptual structures lead to different constructional preferences.

---

### 3.2 Elaboration Asymmetries (One Pole Richer Than Other)

**ASYMMETRY 5: Deception Vocabulary vs. Honesty Vocabulary**

**Pattern**: Languages show richer vocabulary for deception, lying, and trickery than for honesty and truth-telling.

**Evidence from F1**:
- **Chinese**: Multiple deception terms (欺骗 qīpiàn, 诈骗 zhàpiàn, 蒙骗 méngpiàn, 哄骗 hǒngpiàn) vs. fewer honesty terms (诚实 chéngshí, 老实 lǎoshí)
- **Greek**: Multiple deception terms (ψέμα, απάτη apáti, δόλος dólos, υποκρισία ipokrisía) vs. fewer honesty terms (ειλικρίνεια eilikríneia, τιμιότητα timiótita)
- **Tagalog**: Multiple deception terms (kasinungalingan, daya, linlang, palabás, kunwari) vs. fewer honesty terms (tapat, katapatan)
- **English**: Multiple deception terms (lie, deceive, trick, cheat, fraud, swindle) vs. fewer honesty terms (honest, truthful, sincere)

**Strength**: **MODERATE PATTERN** across 4/8 languages explicitly; likely present in others.

**Interpretation**: Negative moral evaluation drives lexical elaboration more than positive. Reflects cognitive salience of threats and social need to identify/warn about deception.

---

**ASYMMETRY 6: Error Vocabulary vs. Correctness Vocabulary**

**Pattern**: Languages show elaborate error vocabulary but less elaborate correctness vocabulary beyond basic terms.

**Evidence from F1**:
- **Chinese**: Multiple error terms (错误 cuòwù, 失误 shīwù, 过失 guòshī) and error types
- **Greek**: Multiple error terms (λάθος láthos, σφάλμα sfálma, πλάνη pláni)
- **English**: Multiple error terms (error, mistake, fault, blunder, slip)
- **Swahili**: makosa (errors) with various modifiers (makosa makubwa/madogo)

**Strength**: **MODERATE PATTERN** across 4/8 languages.

**Interpretation**: Error identification and categorization more elaborated than correctness. Reflects cognitive bias toward marking deviations from norms.

---

### 3.3 Constructional Asymmetries

**ASYMMETRY 7: Revelation (Intransitive) vs. Concealment (Transitive)**

**Pattern**: Truth revelation constructions are intransitive/passive; truth concealment constructions are transitive/agentive.

**Evidence from F5**:
- **Chinese**: 真相大白 (intransitive) vs. 隐瞒真相 yǐnmán zhēnxiàng (transitive)
- **Hebrew**: האמת תצא לאור (intransitive) vs. להסתיר את האמת lehasתir et ha'emet (transitive)
- **Greek**: βγαίνει η αλήθεια (intransitive) vs. κρύβω την αλήθεια krývo tin alítheia (transitive)
- **English**: "truth will out" (intransitive) vs. "hide the truth" (transitive)
- **Tagalog**: lumabas ang katotohanan (intransitive) vs. itago ang katotohanan (transitive)
- **Swahili**: ukweli unadhihirika (passive) vs. ficha ukweli (transitive)

**Strength**: **STRONG RECURRENT PATTERN** across 6/8 languages.

**Interpretation**: Conceptual asymmetry: truth has inherent tendency to emerge (intransitive); concealment requires active agent (transitive). Reflects metaphor: TRUTH IS OBJECT WITH INHERENT TENDENCY TO SURFACE.

---

**ASYMMETRY 8: Singular Truth vs. Plural Lies**

**Pattern**: In several languages, "truth" appears singular while "lies" appears plural in conventionalized constructions.

**Evidence from F2b/F4**:
- **Hebrew**: לומר את האמת lomar et ha'emet (singular definite) vs. לספר שקרים lesaper shkarim (plural)
- **Greek**: λέω την αλήθεια léo tin alítheia (singular definite) vs. λέω ψέματα léo psémata (plural)
- **English**: tell the truth (singular definite) vs. tell lies (plural)
- **Tagalog**: magsabi ng totoo (singular) vs. magsinungaling (verb, but related to plural lies)

**Strength**: **MODERATE PATTERN** across 4/8 languages.

**Interpretation**: Truth conceptualized as unified/singular; lies conceptualized as multiple/varied. May reflect:
1. Truth as single correspondence to reality
2. Lies as multiple possible deviations from truth
3. Pragmatic: people typically tell multiple lies, not single lie

---

### 3.4 Domain-Specific Restrictions

**RESTRICTION 5: Epistemological Validity Vocabulary (Sanskrit-Specific)**

**Pattern**: Sanskrit shows extensive epistemological validity vocabulary (प्रमाण pramāṇa, प्रमा pramā, भ्रम bhrama) with systematic oppositions. Other languages lack equivalent elaboration.

**Evidence from F5**:
- **Sanskrit**: प्रमाण/प्रमाणाभास (valid means vs. semblance), प्रमा/भ्रम (valid cognition vs. error), प्रत्यक्ष/अनुमान (perception vs. inference)
- **Other languages**: Lack systematic epistemological validity framework; use evidence/proof vocabulary instead

**Strength**: **SINGLE-LANGUAGE OBSERVATION** (Sanskrit only).

**Interpretation**: Reflects Sanskrit's role as philosophical metalanguage. Other languages distinguish evidence from truth but lack systematic pramāṇa-śāstra framework.

---

**RESTRICTION 6: Two-Truths Doctrine Vocabulary (Sanskrit-Specific)**

**Pattern**: Sanskrit shows systematic lexicalization of conventional vs. ultimate truth (व्यवहार/परमार्थ) with dedicated adverbial forms. Other languages lack this.

**Evidence from F5**:
- **Sanskrit**: व्यवहार/परमार्थ opposition [CORE], व्यवहारतः/परमार्थतः adverbials [CORE], dual constructions व्यवहारपरमार्थयोः [CORE]
- **Other languages**: Lack systematic two-truths vocabulary

**Strength**: **SINGLE-LANGUAGE OBSERVATION** (Sanskrit only).

**Interpretation**: Reflects Buddhist and Vedāntic philosophical frameworks. Not a universal semantic dimension but language-specific philosophical elaboration.

---

**RESTRICTION 7: Pseudo-X Productivity (Greek-Specific)**

**Pattern**: Greek shows uniquely extensive ψευδ- (pseud-) compounding for "false pretender to category" terms. Other languages lack equivalent productivity.

**Evidence from F1**:
- **Greek**: ψευδοεπιστήμη "pseudoscience", ψευδοδημοκρατία "pseudo-democracy", ψευδοδιανοούμενος "pseudo-intellectual" [all CORE]
- **English**: Borrows pattern (pseudoscience) but less productive
- **Other languages**: Lack equivalent systematic pattern

**Strength**: **SINGLE-LANGUAGE OBSERVATION** (Greek uniquely productive).

**Interpretation**: Reflects Greek's role in academic and critical discourse. Represents specialized elaboration for polemical/critical vocabulary.

---

**RESTRICTION 8: Evidential Integration (Quechua-Specific)**

**Pattern**: Quechua shows obligatory grammatical evidential marking integrated with truth vocabulary. Other languages lack grammatical evidentials.

**Evidence from F4/F6**:
- **Quechua**: chiqapmi (direct knowledge), chiqapsi (reportative), chiqapcha (conjectural) [all CORE]
- **Other languages**: Use optional epistemic modals or adverbs instead

**Strength**: **SINGLE-LANGUAGE OBSERVATION** (Quechua only).

**Interpretation**: Typologically rare feature. Represents grammaticalization of epistemic source marking not present in other sampled languages.

---

### 3.5 Symmetry Patterns (Both Poles Equally Elaborated)

**SYMMETRY 1: Basic Lexical Oppositions**

**Pattern**: Core lexical oppositions (true/false, correct/wrong, genuine/fake) show symmetrical productivity in most languages.

**Evidence from F5**:
- **Chinese**: 真/假 [both CORE], 对/错 [both CORE]
- **Hebrew**: אמת/שקר [both CORE], נכון/לא נכון [both CORE]
- **Sanskrit**: सत्य/असत्य [both CORE], सत्य/मिथ्या [both CORE]
- **Greek**: αλήθεια/ψέμα [both CORE], σωστός/λάθος [both CORE]
- **English**: true/false [both CORE], right/wrong [both CORE]
- **Tagalog**: totoo/kasinungalingan [both CORE], tama/mali [both CORE]
- **Swahili**: kweli/uongo [both CORE], halisi/bandia [both CORE]
- **Quechua**: chiqan/llulla [both CORE], allin/mana allin [both CORE]

**Strength**: **STRONG RECURRENT PATTERN** across all 8 languages.

**Interpretation**: Basic lexical oppositions show symmetry. Asymmetries emerge in derivational and constructional elaboration, not in basic lexical contrasts.

---

**SYMMETRY 2: Adnominal Modification**

**Pattern**: Both positive and negative poles show equally productive adnominal modification across all languages.

**Evidence from F4/F5**:
- All languages show parallel constructions: true X / false X, genuine X / fake X, correct X / wrong X
- No restrictions observed on either pole

**Strength**: **STRONG RECURRENT PATTERN** across all 8 languages.

**Interpretation**: Modification is syntactic process not affected by semantic polarity. Both poles equally accessible for modifying nouns.

---

**SYMMETRY 3: Morphological Negation**

**Pattern**: Morphological negation applies equally productively to both positive and negative poles (creating not-true, not-false, etc.).

**Evidence from F5**:
- All languages show productive negation: not true, not false, not correct, not wrong
- No restrictions based on polarity

**Strength**: **STRONG RECURRENT PATTERN** across all 8 languages.

**Interpretation**: Negation is grammatical process independent of semantic polarity. Both poles equally accessible for negation.

---

## 4. Summary of Major Asymmetries

### 4.1 Universal or Near-Universal Asymmetries

**1. Causative Verification vs. Falsification**
- **Pattern**: Verification causatives productive (6/8 languages); falsification causatives rare/blocked (8/8 languages)
- **Strength**: STRONG RECURRENT PATTERN
- **Interpretation**: Truth-establishment active process; falsification achieved through deception/corruption

**2. Positive vs. Negative Agentive Nominalization**
- **Pattern**: Liar agentives productive (8/8); truth-teller agentives blocked/circumlocutory (6/8)
- **Strength**: STRONG RECURRENT PATTERN
- **Interpretation**: Negative moral agents more salient for lexicalization

**3. Inchoative "Become True" Restrictions**
- **Pattern**: "Become true" restricted/marginal (7/8); "become good" productive (5/8 tested)
- **Strength**: STRONG RECURRENT PATTERN
- **Interpretation**: Truth conceptualized as revealed, not created; different from general improvement

**4. Revelation (Intransitive) vs. Concealment (Transitive)**
- **Pattern**: Truth revelation intransitive (6/8); truth concealment transitive (6/8)
- **Strength**: STRONG RECURRENT PATTERN
- **Interpretation**: Truth emerges spontaneously; concealment requires active agent

**5. Objects Becoming Genuine (Blocked)**
- **Pattern**: Objects spontaneously "becoming genuine" blocked/absent (7/8)
- **Strength**: STRONG RECURRENT PATTERN
- **Interpretation**: Authenticity inherent property verified, not achieved through change

---

### 4.2 Moderate Asymmetries

**1. Deception vs. Honesty Vocabulary Elaboration**
- **Pattern**: Deception vocabulary more elaborate than honesty vocabulary (4/8 explicitly)
- **Strength
