# G7b — Empirical vs. AOML Constraint Comparison

---

## Preliminary Notes

The empirical matrix (G7a) was derived from F-phase data across 8 languages using 16 semantic dimensions (A–P) and 25 constructional functions (CF1–CF25). The AOML matrix is a theoretical architecture with 7 primary axes (VER, AUTH, SINC, NORM, ESS, VERIF, LIFE), 2 meta-axes (DEG, TEMP), 7 core operators (ATTR, CAUSE, BECOME, RESULT, ABSTR, STRAT, CONTR), 1 provisional operator (REVEAL), 4 levels, and 6 structural rules (R1–R6).

Alignment is assessed by mapping empirical dimensions to AOML axes and empirical constructional functions to AOML operators, then comparing empirical ALLOWED/VARIABLE/BLOCKED ratings against AOML licensed/restricted/blocked predictions. Where no mapping is possible, this is noted explicitly.

---

## Dimension-to-Axis Mapping

Before the comparison table, the mapping between empirical dimensions and AOML axes must be established. This mapping is not always one-to-one.

| Empirical Dimension | Best AOML Axis Mapping | Mapping Quality | Notes |
|---|---|---|---|
| A: Propositional Correspondence | VER | Strong | Direct match: both concern statement-to-world correspondence |
| B: Moral Honesty / Integrity of Character | SINC | Strong | Both concern dispositional truthfulness of agents |
| C: Ontological Reality / Actuality | AUTH (actualization subregion) + VER | Partial | AOML places actualization within AUTH; empirical data treats it as partially distinct from material authenticity |
| D: Material Authenticity / Genuineness of Objects | AUTH | Strong | Direct match: both concern origin integrity of objects |
| E: Factual Correctness / Error | VER | Partial | Overlaps with VER but focuses on conformity to standards rather than correspondence to facts; AOML does not distinguish these |
| F: Reliability / Trustworthiness of Sources | SINC (faithfulness subregion) | Partial | AOML places reliability within SINC; empirical data treats it as partially distinct from personal honesty |
| G: Verification / Authentication Processes | VERIF | Strong | Direct match: both concern evidential establishment processes |
| H: Revelation / Concealment of Truth | REVEAL (provisional) | Partial | AOML's provisional REVEAL operator covers revelation; concealment is not explicitly modeled |
| I: Epistemic Certainty / Doubt | DEG[VER] or DEG[VERIF] | Partial | AOML treats certainty as a meta-axis modulation; empirical data treats it as a dimension with its own vocabulary |
| J: Moral Righteousness / Justice | NORM | Strong | Both concern moral and legal rightness |
| K: Legal / Formal Validity | NORM (legitimacy subregion) | Partial | AOML places legitimacy within NORM; empirical data treats legal validity as partially distinct from moral rightness |
| L: Precision / Exactness | DEG[VER] | Partial | AOML treats precision as degree modulation of VER; empirical data treats it as a distinct dimension with dedicated vocabulary |
| M: Sincerity / Authenticity of Expression | SINC | Partial | Overlaps with SINC but focuses on emotional authenticity rather than habitual truthfulness; AOML does not distinguish these |
| N: Plausibility / Surface Appearance of Truth | LIFE | Partial | AOML's LIFE axis covers representational resemblance to reality; empirical plausibility is related but not identical |
| O: Actual vs. Nominal / Formal Status | AUTH (actualization) + NORM | Partial | Spans AOML axes; no single AOML axis captures this distinction cleanly |
| P: Consistency / Coherence | ESS (essential structure subregion) | Weak | AOML places consistency within ESS; empirical data treats it as a distinct dimension; mapping is uncertain |

---

## Comparison Table

| Empirical Dimension | Construction | Empirical Result | AOML Prediction | Alignment Type | Notes |
**2. CF24 (Degree modification) × Dimension D (Material Authenticity) — AOML predicts available (meta-axis); empirical shows BLOCKED.** AOML treats DEG as a meta-axis that modulates primary axes, implying degree modification of authenticity claims is available (though it cannot substitute for AUTH in inference). The empirical data shows that degree modification of authenticity terms is BLOCKED across all 8 languages — authenticity is treated as binary in all languages. No language shows "more genuine" or "somewhat fake" as natural constructions for material authenticity. AOML does not predict this binary treatment. The conflict suggests that AOML's DEG meta-axis may need a blocking condition for AUTH: DEG[AUTH] is blocked, not merely restricted.

**3. CF6 (Abstract nominalization) × Dimension N (Plausibility) — AOML predicts blocked (ABSTR × LIFE); empirical shows VARIABLE with some languages having dedicated abstract nominals.** If Dimension N maps to LIFE, then AOML's explicit blocking of ABSTR × LIFE conflicts with the empirical finding that Finnish uskottavuus "believability" and Basque sinesgarritasuna are attested abstract nominals for plausibility. However, this conflict may be partly resolved by questioning the N → LIFE mapping: if plausibility is not the same as LIFE, the conflict disappears. The conflict is conditional on the mapping.

---

### Unmodeled Empirical Findings

The following empirical findings have no clear mapping to AOML structures:

**1. The liar/truth-teller agentive asymmetry (CF7b).** All 8 languages show that agentive forms for habitual liars are more lexicalized, more productive, or use more dedicated morphology than corresponding forms for habitual truth-tellers. AOML does not model agentive nominalization as a constructional type, nor does it predict this asymmetry. This is the most consistent unmodeled finding in the data.

**2. Discourse marker grammaticalization from truth roots (CF18).** All 8 languages show truth roots grammaticalizing into discourse markers introducing corrections or frank statements. No language shows falsehood roots following this path. AOML does not model grammaticalization processes or the asymmetry between truth and falsehood roots in discourse marker formation.

**3. Saturation/totality asymmetry.** Multiple languages show productive expressions for "full of lies" (Korean geojittuseongi, Turkish yalan dolan, Basque gezur-gezurra) but no language shows a corresponding expression for "full of truth." AOML does not model saturation expressions or the positive/negative asymmetry in totality marking.

**4. Privative asymmetry ("without lies" vs. "without truth").** Multiple languages show productive constructions for "without lies/falsehood" (Georgian uṭq'uari, Korean geojiseobsi, Finnish vilpitön) but no language shows a corresponding construction for "without truth." AOML does not model privative constructions or this asymmetry.

**5. Dimension O (Actual vs. Nominal / Formal Status).** The empirical distinction between what is actually the case in practice versus what is nominally or formally designated has no clean mapping to any single AOML axis. Korean's sil- compound family and Indonesian's sebenarnya/de facto vocabulary represent a semantic territory that spans AOML's AUTH (actualization) and NORM (legitimacy) without being reducible to either.

**6. The specific substitution pattern: revelation constructions replace inchoative on core truth terms.** While AOML's REVEAL operator and restricted BECOME together predict a preference for revelation over inchoative, the specific cross-linguistic substitution pattern — where revelation constructions are the primary realization and inchoative constructions are consistently dispreferred for propositional truth — is not explicitly predicted by AOML. AOML predicts restriction; the empirical data shows a systematic substitution.

**7. The empirical distinction between Dimensions A (Propositional Correspondence) and E (Factual Correctness).** Tamil most clearly shows this distinction (uṇmai/poy vs. cari/tappu), but it is present in other languages as well. AOML maps both to VER, collapsing a distinction that the empirical data treats as real. The distinction concerns whether truth is evaluated by correspondence to facts (A) or by conformity to standards/norms (E).

**8. The empirical distinction between Dimensions B (Moral Honesty) and M (Sincerity of Expression).** AOML maps both to SINC, but empirical data treats habitual truthfulness as a character trait (B) and emotional authenticity as a distinct category (M). The distinction is most clearly visible in Finnish (rehellinen "honest" vs. vilpitön "sincere") and Korean (jeongjik "honest" vs. jinsim "sincere heart").

**9. The empirical distinction between Dimensions J (Moral Righteousness) and K (Legal Validity).** AOML maps both to NORM, but empirical data treats moral righteousness and legal validity as distinct dimensions with different vocabulary and constructional profiles. Georgian's samart'- family and Yoruba's òdodo family show that moral righteousness is more elaborated than legal validity in some languages, while the reverse is true in others.

**10. Dimension P (Consistency / Coherence) as a distinct dimension.** AOML places consistency within ESS (essential structure subregion). The empirical data treats consistency/coherence as a distinct dimension with dedicated vocabulary in Turkish (tutarlı/tutarsız) and Finnish (johdonmukainen). The mapping to ESS is weak: logical consistency concerns non-contradiction, not inherent nature.

---

### Unattested AOML Structures

The following AOML structures are not clearly supported by the empirical data:

**1. LIFE axis as a primary axis.** AOML's LIFE axis (representational fidelity, verisimilitude) is not clearly attested as a primary semantic dimension in the empirical data. Dimension N (Plausibility) is the closest empirical candidate, but the mapping is imperfect. No language in the dataset shows a clearly distinct lexical domain for "representational fidelity" or "verisimilitude" as a primary truth-evaluation category. The LIFE axis may be more relevant to aesthetic and narrative contexts than to the core truth-evaluation domain covered by the empirical data.

**2. ESS axis as a primary axis in the truth domain.** AOML's ESS axis (inherent nature, essential properties) is not clearly attested as a primary semantic dimension in the empirical data. Dimension P (Consistency/Coherence) is the closest empirical candidate, but the mapping is weak. The empirical data shows that essence-related vocabulary (Georgian namdvili "real/genuine," Tamil iyal "nature," Korean bonjil "essence") exists but is not elaborated as a distinct primary axis in the way AOML predicts.

**3. CAUSE × SINC universal block (R1) as a clean empirical finding.** AOML's R1 is described as the strongest empirical finding in the system (16 of 16 languages, p < 1e-9). The empirical data from the 8-language dataset rates CF5 × B as VARIABLE rather than BLOCKED, suggesting that indirect causation constructions are attested. While the underlying pattern (direct causation of character is blocked) is consistent with R1, the empirical rating does not cleanly confirm the universal block as stated. This may reflect a measurement issue (the empirical rating does not distinguish direct from indirect causation) rather than a genuine disconfirmation.

**4. TEMP meta-axis (provisional).** The TEMP meta-axis is marked as provisional in AOML and is not clearly attested in the empirical data. The 8-language dataset does not show temporal modification of truth claims as a distinct constructional domain. This is consistent with AOML's provisional status for TEMP.

**5. The specific blocking of ABSTR × LIFE.** AOML explicitly blocks ABSTR × LIFE (nominalization of lifelikeness is universally blocked). The empirical data does not clearly test this prediction because the mapping of Dimension N to LIFE is imperfect. If N is not LIFE, the prediction is untested rather than confirmed.

---

## Theoretical Discussion

### Where AOML Appears Strongly Supported

**The ATTR operator is universally licensed.** The empirical finding that predicative attribution (CF1) is ALLOWED for all dimensions with sufficient data provides strong support for AOML's prediction that ATTR is universally licensed across all primary axes. This is the most robustly confirmed prediction in the comparison and is consistent across all 8 languages and all language families represented.

**The CONTR operator is universally licensed.** The empirical finding that binary opposition constructions (CF21) are ALLOWED for all core dimensions provides strong support for AOML's prediction that CONTR is universally licensed. The binary treatment of core truth terms (true/false, real/fake, honest/dishonest) is consistent across all 8 languages.

**The REVEAL operator is provisionally supported.** The empirical finding that revelation constructions (CF12a) are ALLOWED for all 8 languages, combined with the consistent preference for revelation over inchoative constructions on core truth terms, provides strong support for AOML's provisional REVEAL operator. The empirical data independently confirms that revelation is structurally distinct from RESULT + STRAT: the presupposition of a pre-existing latent truth state is consistently present in revelation constructions across all 8 languages. The LIFE-blocks-REVEAL diagnostic is not directly testable in the empirical data, but the overall pattern is consistent with AOML's provisional licensing.

**The CAUSE(−) × AUTH licensing (R3) is supported.** The empirical finding that forgery and falsification vocabulary is productive in all 8 languages supports AOML's prediction that CAUSE(−) × AUTH is licensed. This is a specific and non-trivial prediction that the empirical data confirms.

**The DEG meta-axis substitution prohibition (R5) is directionally supported.** The empirical finding that core truth terms resist gradable comparison is directionally consistent with AOML's Rule R5 prediction that DEG[A] cannot substitute for A in inference. The empirical restriction is somewhat stronger than AOML predicts (see below), but the direction is consistent.

### Where AOML May Require Refinement

**1. CAUSE × VER should be BLOCKED (not restricted) for propositional truth-value causation.** The most significant finding is that AOML's prediction of restricted CAUSE × VER conflicts with the empirical universal block on "making a proposition true." AOML's current architecture treats CAUSE × VER as restricted (available under conditions), but the empirical data shows that no language licenses the construction "cause a proposition to acquire truth value." AOML may need to distinguish between:
- CAUSE × VER (verification/confirmation): restricted, available in several languages
- CAUSE × VER (truth-value causation): blocked, universally unavailable

This distinction is not currently in AOML. The empirical data suggests that the blocked cell is specifically the causation of truth-value change, not causation of verification or confirmation. AOML's current architecture does not capture this distinction.

**2. DEG[AUTH] should be BLOCKED (not merely restricted as meta-axis).** The empirical finding that authenticity is treated as binary across all 8 languages (no language shows gradable comparison of authenticity terms) suggests that DEG[AUTH] is blocked, not merely restricted. AOML's current architecture treats DEG as a meta-axis that inherits operator licensing from its host axis, which would predict DEG[AUTH] is available (since AUTH is a factual target). The empirical data contradicts this prediction. AOML may need a blocking condition: DEG[AUTH] is blocked because authenticity is a categorical property (genuine or not genuine) rather than a gradable one.

**3. The SINC axis should be split into at least two subregions with different constructional profiles.** The empirical data consistently distinguishes between habitual honesty as a character trait (Dimension B) and emotional sincerity/authenticity of expression (Dimension M). AOML maps both to SINC, but the empirical data shows different vocabulary, different constructional profiles, and different cross-linguistic elaboration patterns for the two. AOML's SINC subregions (honesty, reliability, faithfulness) do not capture the B/M distinction. A refinement would distinguish:
- SINC-HABIT: habitual truthfulness as a character trait (Dimension B)
- SINC-EXPR: emotional authenticity and sincerity of expression (Dimension M)

**4. The NORM axis should be split to capture the J/K distinction.** The empirical data consistently distinguishes between moral righteousness/justice (Dimension J) and legal/formal validity (Dimension K). AOML maps both to NORM, but the empirical data shows different vocabulary, different constructional profiles, and different cross-linguistic elaboration patterns. A refinement would distinguish:
- NORM-MORAL: moral rightness, justice, fairness (Dimension J)
- NORM-LEGAL: legal validity, formal legitimacy (Dimension K)

**5. The VER axis should be split to capture the A/E distinction.** The empirical data shows that propositional correspondence (Dimension A) and factual correctness/conformity to standards (Dimension E) are distinct in some languages (most clearly Tamil). AOML maps both to VER. A refinement would distinguish:
- VER-PROP: propositional correspondence to facts (Dimension A)
- VER-NORM: correctness as conformity to standards (Dimension E)

This distinction is less robust than the SINC and NORM splits (only Tamil clearly lexicalizes it), but it is present in the data.

**6. The LIFE axis mapping to Dimension N (Plausibility) is imperfect and may require a new axis.** AOML's LIFE axis covers representational fidelity of constructed things. Empirical plausibility concerns whether statements or claims appear true. The overlap is real but the empirical dimension is broader and applies to propositions, not just representations. If plausibility is not LIFE, then AOML lacks an axis for epistemic plausibility/surface appearance of truth. A new axis — tentatively PLAUS (plausibility, surface appearance of truth) — may be needed.

**7. The DEG meta-axis may need to be a primary axis for certainty/doubt.** The empirical data shows that certainty/doubt (Dimension I) has dedicated vocabulary in all 8 languages, suggesting it functions as a distinct semantic dimension rather than a meta-axis modulation. AOML's treatment of certainty as DEG[VER] is partially supported but does not capture the lexical elaboration. If certainty/doubt is a primary axis rather than a meta-axis, AOML's architecture would need revision.

### Where Empirical Findings Suggest New Dimensions, Constructional Constraints, or Revised Constraint Strength

**New dimension: Actual vs. Nominal / Formal Status (Dimension O).** The empirical data shows a consistent cross-linguistic distinction between what is actually the case in practice and what is nominally or formally designated. Korean's sil- compound family is the most systematic realization, but the distinction is present in all 8 languages through discourse markers (Indonesian sebenarnya, Turkish aslında, Korean sasireun). AOML does not model this dimension. A new axis — tentatively ACTUAL (actual vs. nominal status) — may be needed.

**New constructional constraint: Agentive asymmetry.** The consistent cross-linguistic finding that liar agentives are more lexicalized than truth-teller agentives is not modeled in AOML. This asymmetry may reflect a deeper constraint: deviations from expected behavior are marked, while conformity to expected behavior is unmarked. AOML could model this as a constraint on CONTR × SINC agentive forms: the negative pole (liar) is more productively nominalized than the positive pole (truth-teller).

**New constructional constraint: Discourse marker grammaticalization asymmetry.** The consistent cross-linguistic finding that truth roots grammaticalize into discourse markers while falsehood roots do not is not modeled in AOML. This asymmetry may reflect a deeper constraint: truth is the default epistemic state, and discourse markers signal departures from or confirmations of this default. AOML could model this as a constraint on grammaticalization paths: ATTR × VER (positive pole) licenses discourse marker formation; CONTR × VER (negative pole) does not.

**Revised constraint strength: CAUSE × VER (truth-value causation) should be BLOCKED, not restricted.** As discussed above, the empirical data suggests that CAUSE × VER for propositional truth-value causation is universally blocked, not merely restricted. AOML should revise the CAUSE × VER cell from restricted to blocked for the specific meaning of truth-value causation, while maintaining restricted for verification/confirmation causation.

**Revised constraint strength: DEG[AUTH] should be BLOCKED.** As discussed above, the empirical data suggests that degree modification of authenticity terms is universally blocked. AOML should add a blocking condition: DEG[AUTH] is blocked because authenticity is a categorical property.

**Revised constraint strength: BECOME × VER (negative direction) should be BLOCKED or near-BLOCKED.** The empirical data shows that "becoming false" is consistently marked, dispreferred, or blocked across all 8 languages (consistent with AOML's R4 positive emergence bias). AOML's current architecture rates BECOME × VER as restricted for both directions. The empirical data suggests the negative direction should be rated more strongly: BECOME(−) × VER is near-BLOCKED, not merely restricted.

**Support for REVEAL as a primitive operator.** The empirical data provides strong independent support for AOML's provisional REVEAL operator. The consistent cross-linguistic preference for revelation constructions over inchoative constructions on core truth terms, the presence of dedicated revelation vocabulary in all 8 languages, and the structural distinction between revelation (presupposes pre-existing latent truth) and result (marks achieved state) all support REVEAL as a structurally distinct primitive. The empirical data supports upgrading REVEAL from provisional to confirmed status, pending cross-architectural validation.
